year,month,diesel,e5,e10
2021,3,1.3150454726765057,1.4810041217923149,1.3596608163808004
2021,4,1.3096252578348526,1.4932196420254173,1.371218777031073
2021,5,1.331273031377534,1.5105196360473674,1.3892684819696262
2021,6,1.3639938825719795,1.532630294567458,1.4088231930314516
2021,7,1.3893598451991727,1.573491092279976,1.4486916661106293
2021,8,1.3858409574468085,1.582130385638298,1.4563045877659575
2021,9,1.4116946934980408,1.594892276017799,1.4684005445971973
2021,10,1.5368148615445913,1.6751883923235276,1.5443826947340462
2021,11,1.5651335022672712,1.7064747932782074,1.5745970925580155
2021,12,1.5459639813713832,1.6593004855330953,1.5407433610780816
2022,1,1.6036996344300432,1.6986251246261215,1.5672911266201397
2022,2,1.6705888223552894,1.769585628742515,1.6347034597471723
2022,3,2.1405597084161694,2.0714982107355864,1.9253736249171636
2022,4,2.0220356763220835,1.9829815306935956,1.8386368588891842
2022,5,2.0325905469994687,2.0745278146574617,1.9251030934678706
2022,6,2.020877119489328,1.9268646186581555,1.7849474699115633
2022,7,1.9579081199416215,1.8151386493299722,1.677730993764097
2022,8,1.9596168416854978,1.7508756480127607,1.6170025255881961
2022,9,2.080961910439852,1.9553053789083201,1.8107641096979332
2022,10,2.111915375446961,1.9269400741623628,1.7841005827042777
2022,11,1.9692174403931728,1.8495355648535563,1.7104889420203226
2022,12,1.816114620995877,1.7169032667300983,1.5853743736124326
2023,1,1.834997285487288,1.7652318591101697,1.6307139830508475
2023,2,1.7586807101218866,1.7741846184419714,1.6389638977212506
2023,3,1.7189891924147993,1.7825982628298636,1.6476832648189896
2023,4,1.6761910334132244,1.8040326378119274,1.680786479627802
